ndb	name	kcal	protein	carbs	fats	fiber	sugar	sodium	sat_fat	p1	p1g	p2	p2g
10954	Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, with added solution, cooked, braised	263	25.84	0.03	16.94	0	0	151	6.288	3 oz	85	1 steak	264
10955	Pork, cured, ham, rump, bone-in, separable lean and fat, unheated	176	22.27	0.52	9.38	0	0.06	722	3.008	3 oz	85		
10956	Pork, loin, leg cap steak, boneless, separable lean and fat, cooked, broiled	158	27.57	0	4.41	0	0	76	1.358	3 oz	85	1 piece	194
10957	Pork, Leg Cap Steak, boneless, separable lean and fat, raw	123	21.64	0	3.39	0	0	73	1.187	3 oz	85	1 piece	231
10958	Pork, Shoulder breast, boneless, separable lean and fat, raw	127	22.54	0	3.4	0	0	54	1.074	3 oz	85	1 piece	430
10959	Pork, Shoulder breast, boneless, separable lean and fat, cooked, broiled	162	28.47	0	4.49	0	0	54	1.325	3 oz	85	1 piece	373
10947	Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, cooked, broiled	170	29.65	0	5.73	0	0	315	1.957	1 chop	107		
10948	Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, raw	117	21.09	0.22	3.48	0	0	278	1.052	4 oz	114	1 chop	146
10949	Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, raw	171	19.45	0	10.26	0	0	251	2.53	1 chop	146		
11391	Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil	219	2.65	28.51	11.59	3.2	0.27	15	0.934	1 cup, prepared	150	1 patty, oval (approx 3" x 1-1/2" x 1/2")	29
11392	Potatoes, hash brown, frozen, with butter sauce, unprepared	135	1.87	18.28	6.66	2.9		77	2.556	1 package,  (6 oz)	170		
11393	Potatoes, hash brown, frozen, with butter sauce, prepared	178	2.46	24.13	8.79	3.8		101	3.373				
11394	Potatoes, french fried, shoestring, salt added in processing, frozen, as purchased	167	2.16	25.59	6.24	2.3	0.2	323	1.371	10 strip	30		
11395	Potatoes, french fried, shoestring, salt added in processing, frozen, oven-heated	199	2.9	31.66	6.76	2.8	0.31	400	1.267	10 strip	21		
11396	Potatoes, o'brien, frozen, unprepared	76	1.83	17.47	0.14	1.9		33	0.032				
11397	Potatoes, o'brien, frozen, prepared	204	2.22	21.86	13.21	1.7		43	3.313				
11398	Potato puffs, frozen, unprepared	178	1.93	24.8	8.71	2.3	0.28	428	1.418	1 cup	120	10 pieces	91
11399	Potato puffs, frozen, oven-heated	192	2.13	27.29	9.05	2	0.27	463	1.657	10 puffs	79	10 Crispy Crowns	60
11400	Potatoes, frozen, whole, unprepared	78	2.38	17.47	0.16	1.2	0.78	25	0.041	1 cup	182		
11401	Potatoes, frozen, whole, cooked, boiled, drained, without salt	65	1.98	14.52	0.13	1.4		20	0.034				
11402	Potatoes, french fried, all types, salt added in processing, frozen, unprepared	147	2.24	24.81	4.66	1.9	0.2	332	1.005	10 strip	89	1 package,  (9 oz)	255
11403	Potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated	158	2.75	25.55	5.48	2	0.37	324	0.848	10 fries	76	1 package,  (9 oz), yields	198
11406	Potatoes, french fried, cottage-cut, salt not added in processing, frozen, as purchased	153	2.42	23.98	5.78	3		32	2.743	10 strips	65	1 package,  (9 oz)	255
